[+2537.0ms] ************start solve*************
[+0.5ms] simulate_trajectory start
[+2449.7ms] simulate_trajectory end
[+128.2ms] for i in range(max_iters):
[+0.6ms] ================= i=0======================
[+0.5ms] cost_function_traj_flip start
[+1272.4ms] cost_function_traj_flip end
[+0.8ms] backward_pass start
[+0.4ms] backward_pass start
[+579.3ms] linearize_dynamics start
[+5125.3ms] linearize_dynamics end
[+0.8ms] quadratize_cost start
[+3829.6ms] quadratize_cost end
[+929.2ms] linearize_dynamics start
[+645.3ms] linearize_dynamics end
[+1.0ms] quadratize_cost start
[+115.0ms] quadratize_cost end
[+17.7ms] linearize_dynamics start
[+662.4ms] linearize_dynamics end
[+1.1ms] quadratize_cost start
[+113.0ms] quadratize_cost end
[+33.6ms] linearize_dynamics start
[+672.5ms] linearize_dynamics end
[+1.4ms] quadratize_cost start
[+134.4ms] quadratize_cost end
[+11.4ms] linearize_dynamics start
[+699.6ms] linearize_dynamics end
[+0.6ms] quadratize_cost start
[+115.9ms] quadratize_cost end
[+20.9ms] linearize_dynamics start
[+760.9ms] linearize_dynamics end
[+1.2ms] quadratize_cost start
[+129.3ms] quadratize_cost end
[+26.3ms] linearize_dynamics start
[+755.7ms] linearize_dynamics end
[+0.3ms] quadratize_cost start
[+120.9ms] quadratize_cost end
[+36.6ms] linearize_dynamics start
[+671.8ms] linearize_dynamics end
[+0.4ms] quadratize_cost start
[+77.3ms] quadratize_cost end
[+7.1ms] linearize_dynamics start
[+393.5ms] linearize_dynamics end
[+0.3ms] quadratize_cost start
[+64.9ms] quadratize_cost end
[+6.7ms] linearize_dynamics start
[+381.9ms] linearize_dynamics end
[+0.2ms] quadratize_cost start
[+65.3ms] quadratize_cost end
[+8.0ms] linearize_dynamics start
[+362.7ms] linearize_dynamics end
[+0.2ms] quadratize_cost start
[+66.1ms] quadratize_cost end
[+5.3ms] linearize_dynamics start
[+372.4ms] linearize_dynamics end
[+0.2ms] quadratize_cost start
[+73.2ms] quadratize_cost end
[+6.8ms] linearize_dynamics start
[+369.4ms] linearize_dynamics end
[+0.2ms] quadratize_cost start
[+62.9ms] quadratize_cost end
[+6.1ms] linearize_dynamics start
[+364.4ms] linearize_dynamics end
[+0.2ms] quadratize_cost start
[+64.2ms] quadratize_cost end
[+5.9ms] linearize_dynamics start
[+373.2ms] linearize_dynamics end
[+0.2ms] quadratize_cost start
[+58.1ms] quadratize_cost end
[+5.8ms] linearize_dynamics start
[+381.5ms] linearize_dynamics end
[+0.3ms] quadratize_cost start
[+75.7ms] quadratize_cost end
[+9.5ms] linearize_dynamics start
[+421.1ms] linearize_dynamics end
[+0.2ms] quadratize_cost start
[+75.0ms] quadratize_cost end
[+7.2ms] linearize_dynamics start
[+377.3ms] linearize_dynamics end
[+0.2ms] quadratize_cost start
[+69.6ms] quadratize_cost end
[+5.9ms] linearize_dynamics start
[+369.3ms] linearize_dynamics end
[+0.2ms] quadratize_cost start
[+60.8ms] quadratize_cost end
[+6.2ms] linearize_dynamics start
[+380.5ms] linearize_dynamics end
[+0.2ms] quadratize_cost start
[+65.7ms] quadratize_cost end
[+8.0ms] linearize_dynamics start
[+374.0ms] linearize_dynamics end
[+0.4ms] quadratize_cost start
[+63.4ms] quadratize_cost end
[+6.0ms] linearize_dynamics start
[+379.0ms] linearize_dynamics end
[+0.3ms] quadratize_cost start
[+70.3ms] quadratize_cost end
[+6.9ms] linearize_dynamics start
[+371.0ms] linearize_dynamics end
[+0.3ms] quadratize_cost start
[+77.6ms] quadratize_cost end
[+5.3ms] linearize_dynamics start
[+362.3ms] linearize_dynamics end
[+0.2ms] quadratize_cost start
[+67.3ms] quadratize_cost end
[+5.1ms] linearize_dynamics start
[+361.3ms] linearize_dynamics end
[+0.2ms] quadratize_cost start
[+61.7ms] quadratize_cost end
[+8.3ms] linearize_dynamics start
[+377.9ms] linearize_dynamics end
[+0.2ms] quadratize_cost start
[+73.1ms] quadratize_cost end
[+5.1ms] linearize_dynamics start
[+377.3ms] linearize_dynamics end
[+0.3ms] quadratize_cost start
[+75.5ms] quadratize_cost end
[+6.7ms] linearize_dynamics start
[+3939.0ms] linearize_dynamics end
[+0.2ms] quadratize_cost start
[+64.1ms] quadratize_cost end
[+6.4ms] linearize_dynamics start
[+364.1ms] linearize_dynamics end
[+0.2ms] quadratize_cost start
[+69.9ms] quadratize_cost end
[+6.3ms] linearize_dynamics start
